dataset,attack,row_percent,metric,clean,poisoned_mean,poisoned_std,delta_mean,delta_std,relative_pct,relative_unstable,n_runs
coil2000_insurance_policies,label-flip,16,roc_auc,0.737090005223437,0.4968407211945459,0.010315075371448606,-0.24024928402889106,0.010315075371448606,-32.594294092491914,False,5
coil2000_insurance_policies,label-flip,16,accuracy,0.941,0.8462,0.002227105745132011,-0.09479999999999997,0.002227105745132011,-10.074388947927734,False,5
coil2000_insurance_policies,label-flip,16,balanced_accuracy,0.5,0.4861668978187647,0.00910431672821035,-0.013833102181235258,0.00910431672821035,-2.7666204362470515,False,5
coil2000_insurance_policies,label-flip,16,mcc,0.0,-0.021362495235409597,0.014019118088361046,-0.021362495235409597,0.014019118088361046,,True,5
coil2000_insurance_policies,label-flip,64,ce,0.2024606835018946,1.8820147322593161,0.012309380052703642,1.6795540487574214,0.012309380052703578,829.570472501988,False,5
coil2000_insurance_policies,label-flip,64,roc_auc,0.737090005223437,0.32138727282551915,0.003132438655415746,-0.4157027323979179,0.003132438655415746,-56.397825157309555,False,5
coil2000_insurance_policies,label-flip,64,accuracy,0.941,0.33640000000000003,0.0037202150475476583,-0.6045999999999999,0.003720215047547606,-64.25079702444208,False,5
coil2000_insurance_policies,label-flip,64,balanced_accuracy,0.5,0.38526990759920027,0.0019767348818000284,-0.11473009240079972,0.0019767348818000284,-22.946018480159942,False,5
coil2000_insurance_policies,label-flip,64,mcc,0.0,-0.11387142389756835,0.002259874204880843,-0.11387142389756835,0.002259874204880843,,True,5
lcld_v2,x-capgd,1,ce,0.454624160950639,0.46024150512656936,0.0010772010973420045,0.005617344175930306,0.0010772010973420045,1.2356017692029815,False,5
lcld_v2,x-capgd,1,roc_auc,0.7154768602512154,0.7121201585425214,0.0009232379676192702,-0.0033567017086939765,0.0009232379676192702,-0.4691558728419791,False,5
lcld_v2,x-capgd,1,accuracy,0.806,0.806,0.001264911064067353,0.0,0.001264911064067353,0.0,False,5
lcld_v2,x-capgd,1,balanced_accuracy,0.5305990859151279,0.5275344362195068,0.0017228923864201443,-0.0030646496956211245,0.001722892386420144,-0.5775829203202455,False,5
lcld_v2,x-capgd,1,mcc,0.15017271488376943,0.14393360770414665,0.008786865668258,-0.006239107179622766,0.008786865668258,-4.154621020504095,False,5
lcld_v2,x-capgd,4,ce,0.454624160950639,0.4741610459013293,0.0031136263830849062,0.01953688495069027,0.0031136263830849062,4.2973705818533245,False,5
lcld_v2,x-capgd,4,roc_auc,0.7154768602512154,0.7041399321073892,0.0017670051407027239,-0.011336928143826207,0.0017670051407027239,-1.5845275750561145,False,5
lcld_v2,x-capgd,4,accuracy,0.806,0.8074000000000001,0.002870540018881467,0.0014000000000000013,0.002870540018881467,0.17369727047146416,False,5
lcld_v2,x-capgd,4,balanced_accuracy,0.5305990859151279,0.5276400048043188,0.004846198786295308,-0.002959081110809114,0.004846198786295308,-0.5576868089973367,False,5
lcld_v2,x-capgd,4,mcc,0.15017271488376943,0.1512510721540704,0.02544815662819559,0.0010783572703009809,0.02544815662819559,0.7180780284458512,False,5
lcld_v2,x-capgd,16,ce,0.454624160950639,0.49504480998489797,0.0038147129207182747,0.04042064903425894,0.0038147129207182747,8.891003273943381,False,5
lcld_v2,x-capgd,16,roc_auc,0.7154768602512154,0.6734605634960269,0.004033058802230366,-0.042016296755188434,0.004033058802230366,-5.872488558251323,False,5
lcld_v2,x-capgd,16,accuracy,0.806,0.8008000000000001,0.0021354156504062643,-0.005200000000000005,0.002135415650406264,-0.6451612903225812,False,5
lcld_v2,x-capgd,16,balanced_accuracy,0.5305990859151279,0.5116548981926912,0.005102469194719972,-0.018944187722436844,0.005102469194719973,-3.570339306138018,False,5
lcld_v2,x-capgd,16,mcc,0.15017271488376943,0.07292392963113488,0.027313853932471717,-0.07724878525263454,0.027313853932471717,-51.43996052307072,False,5
lcld_v2,x-capgd,64,ce,0.454624160950639,0.7881281332040392,0.1612430628827728,0.3335039722534002,0.16124306288277282,73.35817162819258,False,5
lcld_v2,x-capgd,64,roc_auc,0.7154768602512154,0.49185162240582586,0.039211677445917435,-0.2236252378453895,0.039211677445917435,-31.25541163789296,False,5
lcld_v2,x-capgd,64,accuracy,0.806,0.7682000000000001,0.01771327186038764,-0.037800000000000035,0.017713271860387635,-4.689826302729532,False,5
lcld_v2,x-capgd,64,balanced_accuracy,0.5305990859151279,0.4963360747450866,0.011303210860279415,-0.03426301117004131,0.011303210860279415,-6.457419939001149,False,5
lcld_v2,x-capgd,64,mcc,0.15017271488376943,-0.008522653188905991,0.038013675042159766,-0.15869536807267542,0.03801367504215976,-105.67523414323458,False,5
lcld_v2,label-flip,1,ce,0.454624160950639,0.4610828967137815,0.00040266460750253277,0.006458735763142464,0.00040266460750253277,1.420675872051535,False,5
lcld_v2,label-flip,1,roc_auc,0.7154768602512154,0.7076458205586917,0.0007798186075275253,-0.007831039692523611,0.0007798186075275253,-1.0945203300878255,False,5
lcld_v2,label-flip,1,accuracy,0.806,0.807,0.0017888543819998333,0.0010000000000000009,0.0017888543819998333,0.12406947890818869,False,5
lcld_v2,label-flip,1,balanced_accuracy,0.5305990859151279,0.5174308272910595,0.0020613877709330292,-0.01316825862406843,0.0020613877709330292,-2.48177182615327,False,5
lcld_v2,label-flip,1,mcc,0.15017271488376943,0.13076983514940207,0.017737074680419476,-0.01940287973436736,0.017737074680419476,-12.920376214404053,False,5
lcld_v2,label-flip,4,ce,0.454624160950639,0.4741934583024016,0.0009055969449371549,0.01956929735176265,0.0009055969449371549,4.304500075588238,False,5
