path,model,dataset,ctx,test,rows,eps,cons,iters,loss_old,loss_new,loss_pct,acc_old,acc_new,acc_pct,bacc_old,bacc_new,bacc_pct,mcc_old,mcc_new,mcc_pct,auc_old,auc_new,auc_pct,cells_moved,cells_total,pct_ctx,run
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,32,0.5,full,100,0.44870463013648987,0.4504859745502472,0.39699710992852105,0.802,0.801,-0.12468827930174574,0.5185313955914053,0.5159933245254155,-0.4894729784095389,0.10280826148961943,0.09087231572466668,-11.60990915711372,0.7243142783091326,0.7220006195042702,-0.3194274742537929,405,896,0.64,lcld_v2/abl_rows032_full_it100
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,32,0.5,full,100,0.44993922114372253,0.45867276191711426,1.9410490046170032,0.804,0.804,0.0,0.52552,0.52361,-0.3634495356979691,0.13004,0.12527,-3.6681021224238672,0.72244,0.71254,-1.370356015724492,405,896,0.64,lcld_v2/abl_rows032_full_it100
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,32,0.5,none,100,0.44870463013648987,0.4854580760002136,8.191011056102509,0.802,0.803,0.12468827930174574,0.5185313955914053,0.5172386545378688,-0.24930815463200126,0.10280826148961943,0.10314121698668964,0.3238606433431741,0.7243142783091326,0.6964302646800388,-3.849711991621565,896,896,0.64,lcld_v2/abl_rows032_none_it100
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,32,0.5,none,100,0.44993922114372253,0.48545822501182556,7.89417819096,0.804,0.803,-0.12437810945273642,0.52552,0.51724,-1.575582280407968,0.13004,0.10314,-20.685942786834815,0.72244,0.69643,-3.600298986767064,896,896,0.64,lcld_v2/abl_rows032_none_it100
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,64,0.5,full,100,0.44870463013648987,0.4528987407684326,0.9347152559283726,0.802,0.801,-0.12468827930174574,0.5185313955914053,0.5140779184656522,-0.8588635449303303,0.10280826148961943,0.08423010276104065,-18.070686595993667,0.7243142783091326,0.720085213444507,-0.5838715308081585,797,1792,1.28,lcld_v2/abl_rows064_full_it100
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,64,0.5,full,100,0.44993922114372253,0.4692131578922272,4.283675626123741,0.804,0.8,-0.4975124378109457,0.52552,0.51346,-2.2948698432029153,0.13004,0.0784,-39.71085819747769,0.72244,0.7118,-1.4727866674049033,797,1792,1.28,lcld_v2/abl_rows064_full_it100
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,64,0.5,none,100,0.44870463013648987,0.5216336846351624,16.25324313602212,0.802,0.803,0.12468827930174574,0.5185313955914053,0.5306464969562111,2.3364258110134535,0.10280826148961943,0.13851252723824506,34.72898503612056,0.7243142783091326,0.6757084789905872,-6.710595217315436,1792,1792,1.28,lcld_v2/abl_rows064_none_it100
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,64,0.5,none,100,0.44993922114372253,0.5216337442398071,15.934268391593154,0.804,0.803,-0.12437810945273642,0.52552,0.53065,0.9761759780788491,0.13004,0.13851,6.5133804983082175,0.72244,0.67571,-6.4683572338187165,1792,1792,1.28,lcld_v2/abl_rows064_none_it100
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,128,0.5,full,100,0.44870463013648987,0.4572749733924866,1.9100189033907946,0.802,0.798,-0.49875311720698295,0.5185313955914053,0.5179561416262619,-0.11093908103428382,0.10280826148961943,0.08812428398457743,-14.282876971443233,0.7243142783091326,0.7113236530523228,-1.7935067201954997,1604,3584,2.56,lcld_v2/abl_rows128_full_it100
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,128,0.5,full,100,0.44993922114372253,0.46745070815086365,3.8919672222901145,0.804,0.802,-0.24875621890547284,0.52552,0.52428,-0.2359567666311499,0.13004,0.11915,-8.37434635496769,0.72244,0.70918,-1.8354465422733983,1604,3584,2.56,lcld_v2/abl_rows128_full_it100
